candidate_instance_id,trial_id,candidate_rank,campaign_id,search_phase,variables_json,stage,task,outer_fold_index,inner_fold_index,seed,raw_expression,canonical_expression,parameter_template_expression,parameter_initial_values_json,structure_signature,reference_scale_signature,algebraic_family_id,structure_family_id,reference_scale_family_id,prediction_family_id,normalized_complexity,raw_ast_complexity,raw_ast_depth,free_constant_count,variable_support_json,structural_status,numeric_physics_status,domain_certification_status,freeze_eligible,eligibility_scope,rejection_reasons_json,loss,score,machine_protocol_sha256,execution_supplement_sha256,shape_expansion_decision_sha256
CAND_377da84898214ef3ee54,peak_q_d__outer00__inner00__seed2026082301,0,peak_q_d,INITIAL,"[""q"",""d""]",INNER_SEARCH,peak,0,0,2026082301,2.887908,2.88790800000000,p0,"[{""initial_value"":2.887908,""name"":""p0"",""role"":""value""}]",p0,2.88790800000000,ALG_49c20d2a6aec1953,STRUCT_5134e09694de2ff3,REF_49c20d2a6aec1953,PRED_2c6ea52d4ed961f4,1,1,0,1,[],FAIL,NOT_RUN,NOT_RUN_STRUCTURAL_REJECT,False,INELIGIBLE_FOR_SELECTION,"[""NO_ALLOWED_VARIABLE_SUPPORT""]",0.17308809,0.0,453c6a9dbc6ba19d096c9ae6dfb6836b82df3f4ef8501b17a41e60f12dc21a8b,c3fe3963d6eaedd1cc3fbb65c73a0bcf57cb260fd2f6fa9c40d3371f40640a55,
CAND_dabe91a6e78936a97337,peak_q_d__outer00__inner00__seed2026082301,1,peak_q_d,INITIAL,"[""q"",""d""]",INNER_SEARCH,peak,0,0,2026082301,q * 2.550136,2.550136*q,p0*q,"[{""initial_value"":2.550136,""name"":""p0"",""role"":""value""}]",q,q,ALG_36b79303454e58ff,STRUCT_e0a4043694a618e7,REF_e0a4043694a618e7,PRED_fc30a704c84225f2,3,3,1,1,"[""q""]",PASS,PASS,DOMAIN_CERTIFIED,True,ELIGIBLE_FOR_OUTER_SELECTION_AND_REFIT_ONLY_NOT_SELECTED_OR_FROZEN,[],0.06621723,0.4804299773370867,453c6a9dbc6ba19d096c9ae6dfb6836b82df3f4ef8501b17a41e60f12dc21a8b,c3fe3963d6eaedd1cc3fbb65c73a0bcf57cb260fd2f6fa9c40d3371f40640a55,
CAND_240d0bae82aaeb87fcdf,peak_q_d__outer00__inner00__seed2026082301,2,peak_q_d,INITIAL,"[""q"",""d""]",INNER_SEARCH,peak,0,0,2026082301,q * (3.6348865 - d),q*(-1.0*d + 3.6348865),q*(-d + p0),"[{""initial_value"":3.6348865,""name"":""p0"",""role"":""value""}]",q*(-d + p0),q*(-1.0*d + 3.6348865),ALG_e06f3696f8c238df,STRUCT_b5b5ad02a03d3af4,REF_e06f3696f8c238df,PRED_1808a3716fee0308,7,5,2,1,"[""d"",""q""]",PASS,PASS,DOMAIN_CERTIFIED,True,ELIGIBLE_FOR_OUTER_SELECTION_AND_REFIT_ONLY_NOT_SELECTED_OR_FROZEN,[],0.037026607,0.2906519693317227,453c6a9dbc6ba19d096c9ae6dfb6836b82df3f4ef8501b17a41e60f12dc21a8b,c3fe3963d6eaedd1cc3fbb65c73a0bcf57cb260fd2f6fa9c40d3371f40640a55,
CAND_d2eccf1864714c6d4a40,peak_q_d__outer00__inner00__seed2026082301,3,peak_q_d,INITIAL,"[""q"",""d""]",INNER_SEARCH,peak,0,0,2026082301,(3.6348865 - (q * d)) * q,q*(-1.0*d*q + 3.6348865),q*(-d*q + p0),"[{""initial_value"":3.6348865,""name"":""p0"",""role"":""value""}]",q*(-d*q + p0),q*(-1.0*d*q + 3.6348865),ALG_40470cce9d7782d3,STRUCT_5e35f9d4b6502668,REF_40470cce9d7782d3,PRED_40470cce9d7782d3,9,7,3,1,"[""d"",""q""]",PASS,PASS,DOMAIN_CERTIFIED,True,ELIGIBLE_FOR_OUTER_SELECTION_AND_REFIT_ONLY_NOT_SELECTED_OR_FROZEN,[],0.03432858,0.03782925947150784,453c6a9dbc6ba19d096c9ae6dfb6836b82df3f4ef8501b17a41e60f12dc21a8b,c3fe3963d6eaedd1cc3fbb65c73a0bcf57cb260fd2f6fa9c40d3371f40640a55,
CAND_333bc8d0d18c8e17f309,peak_q_d__outer00__inner00__seed2026082301,4,peak_q_d,INITIAL,"[""q"",""d""]",INNER_SEARCH,peak,0,0,2026082301,4.954021 - ((d * 2.3171868) / q),-2.3171868*d/q + 4.954021,-d*p0/q + p1,"[{""initial_value"":2.3171868,""name"":""p0"",""role"":""value""},{""initial_value"":4.954021,""name"":""p1"",""role"":""value""}]",-d*p0/q + p1,-1.0*d/q + 2.13794632353335,ALG_35c0f90f697cab7c,STRUCT_f29acea625f02dbd,REF_418d0afc9851f1b8,PRED_35c0f90f697cab7c,10,8,3,2,"[""d"",""q""]",PASS,PASS,DOMAIN_CERTIFIED,True,ELIGIBLE_FOR_OUTER_SELECTION_AND_REFIT_ONLY_NOT_SELECTED_OR_FROZEN,[],0.0074856,1.5229970683954026,453c6a9dbc6ba19d096c9ae6dfb6836b82df3f4ef8501b17a41e60f12dc21a8b,c3fe3963d6eaedd1cc3fbb65c73a0bcf57cb260fd2f6fa9c40d3371f40640a55,
CAND_ed3e983668fdeb5a096f,peak_q_d__outer00__inner00__seed2026082301,5,peak_q_d,INITIAL,"[""q"",""d""]",INNER_SEARCH,peak,0,0,2026082301,"3.6558752 - ((d * d) * pow_positive_base(q, -2.995372))",-1.0*d**2/q**2.995372 + 3.6558752,-d**2*q**p0 + p1,"[{""initial_value"":-2.995372,""name"":""p0"",""role"":""fitted_exponent""},{""initial_value"":3.6558752,""name"":""p1"",""role"":""value""}]",-d**2*q**p0 + p1,-1.0*d**2/q**2.995372 + 3.6558752,ALG_ec9dc015152f7447,STRUCT_81d4002fe8439332,REF_ec9dc015152f7447,PRED_ec9dc015152f7447,13,11,3,2,"[""d"",""q""]",FAIL,NOT_RUN,NOT_RUN_STRUCTURAL_REJECT,False,INELIGIBLE_FOR_SELECTION,"[""COMPLEXITY_EXCEEDED""]",0.0056824167,0.09186818579445495,453c6a9dbc6ba19d096c9ae6dfb6836b82df3f4ef8501b17a41e60f12dc21a8b,c3fe3963d6eaedd1cc3fbb65c73a0bcf57cb260fd2f6fa9c40d3371f40640a55,
CAND_88035194820e21cad47b,peak_q_d__outer00__inner00__seed2026082302,0,peak_q_d,INITIAL,"[""q"",""d""]",INNER_SEARCH,peak,0,0,2026082302,2.887903,2.88790300000000,p0,"[{""initial_value"":2.887903,""name"":""p0"",""role"":""value""}]",p0,2.88790300000000,ALG_f790845a049bb24a,STRUCT_5134e09694de2ff3,REF_f790845a049bb24a,PRED_2c6ea52d4ed961f4,1,1,0,1,[],FAIL,NOT_RUN,NOT_RUN_STRUCTURAL_REJECT,False,INELIGIBLE_FOR_SELECTION,"[""NO_ALLOWED_VARIABLE_SUPPORT""]",0.17308809,0.0,453c6a9dbc6ba19d096c9ae6dfb6836b82df3f4ef8501b17a41e60f12dc21a8b,c3fe3963d6eaedd1cc3fbb65c73a0bcf57cb260fd2f6fa9c40d3371f40640a55,
CAND_d97b07766c58f3421a32,peak_q_d__outer00__inner00__seed2026082302,1,peak_q_d,INITIAL,"[""q"",""d""]",INNER_SEARCH,peak,0,0,2026082302,q * 2.5501375,2.5501375*q,p0*q,"[{""initial_value"":2.5501375,""name"":""p0"",""role"":""value""}]",q,q,ALG_cab8df3a38f6950d,STRUCT_e0a4043694a618e7,REF_e0a4043694a618e7,PRED_fc30a704c84225f2,3,3,1,1,"[""q""]",PASS,PASS,DOMAIN_CERTIFIED,True,ELIGIBLE_FOR_OUTER_SELECTION_AND_REFIT_ONLY_NOT_SELECTED_OR_FROZEN,[],0.06621723,0.4804299773370867,453c6a9dbc6ba19d096c9ae6dfb6836b82df3f4ef8501b17a41e60f12dc21a8b,c3fe3963d6eaedd1cc3fbb65c73a0bcf57cb260fd2f6fa9c40d3371f40640a55,
CAND_c839d59486e1b1c22ec5,peak_q_d__outer00__inner00__seed2026082302,2,peak_q_d,INITIAL,"[""q"",""d""]",INNER_SEARCH,peak,0,0,2026082302,(2.7452173 - d) + q,-1.0*d + 1.0*q + 2.7452173,-d + p0 + q,"[{""initial_value"":2.7452173,""name"":""p0"",""role"":""value""}]",-d + p0 + q,-1.0*d + 1.0*q + 2.7452173,ALG_9f01821829d34a7d,STRUCT_ed648aa91b9e4d23,REF_9f01821829d34a7d,PRED_9f01821829d34a7d,7,5,2,1,"[""d"",""q""]",PASS,PASS,DOMAIN_CERTIFIED,True,ELIGIBLE_FOR_OUTER_SELECTION_AND_REFIT_ONLY_NOT_SELECTED_OR_FROZEN,[],0.04369763,0.2078234168800905,453c6a9dbc6ba19d096c9ae6dfb6836b82df3f4ef8501b17a41e60f12dc21a8b,c3fe3963d6eaedd1cc3fbb65c73a0bcf57cb260fd2f6fa9c40d3371f40640a55,
CAND_e2f3af2d140defb56d76,peak_q_d__outer00__inner00__seed2026082302,3,peak_q_d,INITIAL,"[""q"",""d""]",INNER_SEARCH,peak,0,0,2026082302,(q / d) + 1.7175709,1.7175709 + 1.0*q/d,p0 + q/d,"[{""initial_value"":1.7175709,""name"":""p0"",""role"":""value""}]",p0 + q/d,1.0 + 0.582217595791824*q/d,ALG_f4ee942525303433,STRUCT_6c7220a01b4815c5,REF_d52f5b6dd8be4c9c,PRED_f4ee942525303433,6,6,2,1,"[""d"",""q""]",PASS,PASS,DOMAIN_CERTIFIED,True,ELIGIBLE_FOR_OUTER_SELECTION_AND_REFIT_ONLY_NOT_SELECTED_OR_FROZEN,[],0.039835665,0.09253125066607915,453c6a9dbc6ba19d096c9ae6dfb6836b82df3f4ef8501b17a41e60f12dc21a8b,c3fe3963d6eaedd1cc3fbb65c73a0bcf57cb260fd2f6fa9c40d3371f40640a55,
