trial_id,candidate_rank,campaign_id,search_phase,variables_json,stage,task,outer_fold_index,outer_holdout_parent_case_id,inner_fold_index,seed,raw_expression,complexity,loss,score,raw_candidate_json,machine_protocol_sha256,execution_supplement_sha256,shape_expansion_decision_sha256
peak_q_d__outer00__inner00__seed2026082301,0,peak_q_d,INITIAL,"[""q"",""d""]",INNER_SEARCH,peak,0,d_q018_s35,0,2026082301,2.887908,1,0.17308809,0.0,"{""complexity"": 1, ""loss"": 0.17308809, ""raw_expression"": ""2.887908"", ""score"": 0.0}",453c6a9dbc6ba19d096c9ae6dfb6836b82df3f4ef8501b17a41e60f12dc21a8b,c3fe3963d6eaedd1cc3fbb65c73a0bcf57cb260fd2f6fa9c40d3371f40640a55,
peak_q_d__outer00__inner00__seed2026082301,1,peak_q_d,INITIAL,"[""q"",""d""]",INNER_SEARCH,peak,0,d_q018_s35,0,2026082301,q * 2.550136,3,0.06621723,0.4804299773370867,"{""complexity"": 3, ""loss"": 0.06621723, ""raw_expression"": ""q * 2.550136"", ""score"": 0.4804299773370867}",453c6a9dbc6ba19d096c9ae6dfb6836b82df3f4ef8501b17a41e60f12dc21a8b,c3fe3963d6eaedd1cc3fbb65c73a0bcf57cb260fd2f6fa9c40d3371f40640a55,
peak_q_d__outer00__inner00__seed2026082301,2,peak_q_d,INITIAL,"[""q"",""d""]",INNER_SEARCH,peak,0,d_q018_s35,0,2026082301,q * (3.6348865 - d),5,0.037026607,0.2906519693317227,"{""complexity"": 5, ""loss"": 0.037026607, ""raw_expression"": ""q * (3.6348865 - d)"", ""score"": 0.2906519693317227}",453c6a9dbc6ba19d096c9ae6dfb6836b82df3f4ef8501b17a41e60f12dc21a8b,c3fe3963d6eaedd1cc3fbb65c73a0bcf57cb260fd2f6fa9c40d3371f40640a55,
peak_q_d__outer00__inner00__seed2026082301,3,peak_q_d,INITIAL,"[""q"",""d""]",INNER_SEARCH,peak,0,d_q018_s35,0,2026082301,(3.6348865 - (q * d)) * q,7,0.03432858,0.03782925947150784,"{""complexity"": 7, ""loss"": 0.03432858, ""raw_expression"": ""(3.6348865 - (q * d)) * q"", ""score"": 0.03782925947150784}",453c6a9dbc6ba19d096c9ae6dfb6836b82df3f4ef8501b17a41e60f12dc21a8b,c3fe3963d6eaedd1cc3fbb65c73a0bcf57cb260fd2f6fa9c40d3371f40640a55,
peak_q_d__outer00__inner00__seed2026082301,4,peak_q_d,INITIAL,"[""q"",""d""]",INNER_SEARCH,peak,0,d_q018_s35,0,2026082301,4.954021 - ((d * 2.3171868) / q),8,0.0074856,1.5229970683954026,"{""complexity"": 8, ""loss"": 0.0074856, ""raw_expression"": ""4.954021 - ((d * 2.3171868) / q)"", ""score"": 1.5229970683954026}",453c6a9dbc6ba19d096c9ae6dfb6836b82df3f4ef8501b17a41e60f12dc21a8b,c3fe3963d6eaedd1cc3fbb65c73a0bcf57cb260fd2f6fa9c40d3371f40640a55,
peak_q_d__outer00__inner00__seed2026082301,5,peak_q_d,INITIAL,"[""q"",""d""]",INNER_SEARCH,peak,0,d_q018_s35,0,2026082301,"3.6558752 - ((d * d) * pow_positive_base(q, -2.995372))",11,0.0056824167,0.09186818579445495,"{""complexity"": 11, ""loss"": 0.0056824167, ""raw_expression"": ""3.6558752 - ((d * d) * pow_positive_base(q, -2.995372))"", ""score"": 0.09186818579445495}",453c6a9dbc6ba19d096c9ae6dfb6836b82df3f4ef8501b17a41e60f12dc21a8b,c3fe3963d6eaedd1cc3fbb65c73a0bcf57cb260fd2f6fa9c40d3371f40640a55,
peak_q_d__outer00__inner00__seed2026082302,0,peak_q_d,INITIAL,"[""q"",""d""]",INNER_SEARCH,peak,0,d_q018_s35,0,2026082302,2.887903,1,0.17308809,0.0,"{""complexity"": 1, ""loss"": 0.17308809, ""raw_expression"": ""2.887903"", ""score"": 0.0}",453c6a9dbc6ba19d096c9ae6dfb6836b82df3f4ef8501b17a41e60f12dc21a8b,c3fe3963d6eaedd1cc3fbb65c73a0bcf57cb260fd2f6fa9c40d3371f40640a55,
peak_q_d__outer00__inner00__seed2026082302,1,peak_q_d,INITIAL,"[""q"",""d""]",INNER_SEARCH,peak,0,d_q018_s35,0,2026082302,q * 2.5501375,3,0.06621723,0.4804299773370867,"{""complexity"": 3, ""loss"": 0.06621723, ""raw_expression"": ""q * 2.5501375"", ""score"": 0.4804299773370867}",453c6a9dbc6ba19d096c9ae6dfb6836b82df3f4ef8501b17a41e60f12dc21a8b,c3fe3963d6eaedd1cc3fbb65c73a0bcf57cb260fd2f6fa9c40d3371f40640a55,
peak_q_d__outer00__inner00__seed2026082302,2,peak_q_d,INITIAL,"[""q"",""d""]",INNER_SEARCH,peak,0,d_q018_s35,0,2026082302,(2.7452173 - d) + q,5,0.04369763,0.2078234168800905,"{""complexity"": 5, ""loss"": 0.04369763, ""raw_expression"": ""(2.7452173 - d) + q"", ""score"": 0.2078234168800905}",453c6a9dbc6ba19d096c9ae6dfb6836b82df3f4ef8501b17a41e60f12dc21a8b,c3fe3963d6eaedd1cc3fbb65c73a0bcf57cb260fd2f6fa9c40d3371f40640a55,
peak_q_d__outer00__inner00__seed2026082302,3,peak_q_d,INITIAL,"[""q"",""d""]",INNER_SEARCH,peak,0,d_q018_s35,0,2026082302,(q / d) + 1.7175709,6,0.039835665,0.09253125066607915,"{""complexity"": 6, ""loss"": 0.039835665, ""raw_expression"": ""(q / d) + 1.7175709"", ""score"": 0.09253125066607915}",453c6a9dbc6ba19d096c9ae6dfb6836b82df3f4ef8501b17a41e60f12dc21a8b,c3fe3963d6eaedd1cc3fbb65c73a0bcf57cb260fd2f6fa9c40d3371f40640a55,
