n_sensors,layout_type,sensor_ids,scenario_ids,evidence_label,decision_status
4,uniform_default,T_1500;T_4000;T_6000;T_8500,syn_low_left_weak;syn_mid_center;syn_high_right_strong;syn_high_left_strong,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_LAYOUT_RECOMMENDATION
4,bilateral_near_source,T_4500;T_4750;T_5250;T_5500,syn_low_left_weak;syn_mid_center;syn_high_right_strong;syn_high_left_strong,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_LAYOUT_RECOMMENDATION
4,upstream_one_sided_adverse,T_1500;T_2000;T_2500;T_3000,syn_low_left_weak;syn_mid_center;syn_high_right_strong;syn_high_left_strong,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_LAYOUT_RECOMMENDATION
4,downstream_bias,T_3500;T_5000;T_6500;T_8500,syn_low_left_weak;syn_mid_center;syn_high_right_strong;syn_high_left_strong,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_LAYOUT_RECOMMENDATION
4,optimized_average_multiscenario,T_3750;T_5000;T_6250;T_6500,syn_low_left_weak;syn_mid_center;syn_high_right_strong;syn_high_left_strong,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_LAYOUT_RECOMMENDATION
4,optimized_worst_multiscenario,T_3750;T_4000;T_4500;T_6500,syn_low_left_weak;syn_mid_center;syn_high_right_strong;syn_high_left_strong,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_LAYOUT_RECOMMENDATION
8,uniform_default,T_1500;T_3000;T_3750;T_4500;T_5500;T_6250;T_7000;T_8500,syn_low_left_weak;syn_mid_center;syn_high_right_strong;syn_high_left_strong,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_LAYOUT_RECOMMENDATION
8,bilateral_near_source,T_4000;T_4250;T_4500;T_4750;T_5250;T_5500;T_5750;T_6000,syn_low_left_weak;syn_mid_center;syn_high_right_strong;syn_high_left_strong,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_LAYOUT_RECOMMENDATION
8,upstream_one_sided_adverse,T_1500;T_2000;T_2500;T_3000;T_3250;T_3500;T_3750;T_4000,syn_low_left_weak;syn_mid_center;syn_high_right_strong;syn_high_left_strong,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_LAYOUT_RECOMMENDATION
8,downstream_bias,T_1500;T_4750;T_5000;T_5500;T_6000;T_6750;T_7500;T_8500,syn_low_left_weak;syn_mid_center;syn_high_right_strong;syn_high_left_strong,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_LAYOUT_RECOMMENDATION
8,optimized_average_multiscenario,T_3250;T_3750;T_4000;T_4250;T_5000;T_5250;T_6250;T_6500,syn_low_left_weak;syn_mid_center;syn_high_right_strong;syn_high_left_strong,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_LAYOUT_RECOMMENDATION
8,optimized_worst_multiscenario,T_3000;T_3500;T_3750;T_4000;T_4250;T_4500;T_5250;T_6500,syn_low_left_weak;syn_mid_center;syn_high_right_strong;syn_high_left_strong,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_LAYOUT_RECOMMENDATION
12,uniform_default,T_1500;T_2500;T_3250;T_3750;T_4250;T_4750;T_5250;T_5750;T_6250;T_6750;T_7500;T_8500,syn_low_left_weak;syn_mid_center;syn_high_right_strong;syn_high_left_strong,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_LAYOUT_RECOMMENDATION
12,bilateral_near_source,T_3500;T_3750;T_4000;T_4250;T_4500;T_4750;T_5250;T_5500;T_5750;T_6000;T_6250;T_6500,syn_low_left_weak;syn_mid_center;syn_high_right_strong;syn_high_left_strong,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_LAYOUT_RECOMMENDATION
12,upstream_one_sided_adverse,T_1500;T_2000;T_2500;T_3000;T_3250;T_3500;T_3750;T_4000;T_4250;T_4500;T_4750;T_5000,syn_low_left_weak;syn_mid_center;syn_high_right_strong;syn_high_left_strong,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_LAYOUT_RECOMMENDATION
12,downstream_bias,T_1500;T_3500;T_4750;T_5000;T_5250;T_5750;T_6000;T_6500;T_6750;T_7000;T_8000;T_8500,syn_low_left_weak;syn_mid_center;syn_high_right_strong;syn_high_left_strong,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_LAYOUT_RECOMMENDATION
12,optimized_average_multiscenario,T_3250;T_3500;T_3750;T_4000;T_4250;T_4500;T_5000;T_5250;T_5750;T_6250;T_6500;T_6750,syn_low_left_weak;syn_mid_center;syn_high_right_strong;syn_high_left_strong,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_LAYOUT_RECOMMENDATION
12,optimized_worst_multiscenario,T_2000;T_2500;T_3000;T_3250;T_3500;T_3750;T_4000;T_4250;T_4500;T_4750;T_5250;T_6500,syn_low_left_weak;syn_mid_center;syn_high_right_strong;syn_high_left_strong,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_LAYOUT_RECOMMENDATION
16,uniform_default,T_1500;T_2000;T_3000;T_3250;T_3750;T_4000;T_4500;T_4750;T_5250;T_5500;T_6000;T_6250;T_6750;T_7000;T_8000;T_8500,syn_low_left_weak;syn_mid_center;syn_high_right_strong;syn_high_left_strong,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_LAYOUT_RECOMMENDATION
16,bilateral_near_source,T_3000;T_3250;T_3500;T_3750;T_4000;T_4250;T_4500;T_4750;T_5250;T_5500;T_5750;T_6000;T_6250;T_6500;T_6750;T_7000,syn_low_left_weak;syn_mid_center;syn_high_right_strong;syn_high_left_strong,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_LAYOUT_RECOMMENDATION
16,upstream_one_sided_adverse,T_1500;T_2000;T_2500;T_3000;T_3250;T_3500;T_3750;T_4000;T_4250;T_4500;T_4750;T_5000;T_5250;T_5500;T_5750;T_6000,syn_low_left_weak;syn_mid_center;syn_high_right_strong;syn_high_left_strong,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_LAYOUT_RECOMMENDATION
