chid,case_group,Q,U,Df,dx,L,W,H,x_fire,T_end,n_mesh_x,n_mesh_y,n_mesh_z,subset,design_status,reuse_chid,Uc_m_s,U_over_Uc,flow_layer,critical_velocity_method,chi_r_assumed,HRRPUA_kW_m2,selection_reason,backup_chid,backup_Q_MW,backup_U_over_Uc,backup_Df_m,note
pilot_01_q05_u000_d20,pilot_candidate,5,0.000000,2,0.25,100,10,5,50,300,11,1,2,development_pilot,CONDITIONAL_PARALLEL_PENDING_EXTERNAL_VALIDATION,,2.177350,0.000000,no_wind,Li_2010_piecewise_preliminary,0.300,1250.000,低功率小火源无风基线,pilot_alt_01,8,0,2.5,用户授权按100m/0.25m与外部验证并行；结果仅作先导判伪，外部验证和先导决策门通过前不得扩展68组数据库
gsA_m,pilot_candidate,10,1.000000,3,0.25,100,10,5,50,300,11,1,2,development_pilot,CONDITIONAL_PARALLEL_PENDING_EXTERNAL_VALIDATION,gsA_m,2.743289,0.364526,weak,Li_2010_piecewise_preliminary,0.300,1111.111,复用网格中档低功率弱风工况并避免重复计算,pilot_alt_02,12,0.4,3,用户授权按100m/0.25m与外部验证并行；结果仅作先导判伪，外部验证和先导决策门通过前不得扩展68组数据库
pilot_03_q20_r090_d35,pilot_candidate,20,2.710382,3.5,0.25,100,10,5,50,300,11,1,2,development_pilot,CONDITIONAL_PARALLEL_PENDING_EXTERNAL_VALIDATION,,3.011535,0.900000,near_critical,Li_2010_piecewise_preliminary,0.300,1632.653,低功率临界下缘且与下一行构成同Q同U不同尺寸,pilot_alt_03,18,0.9,3.5,用户授权按100m/0.25m与外部验证并行；结果仅作先导判伪，外部验证和先导决策门通过前不得扩展68组数据库
pilot_04_q20_r090_d45,pilot_candidate,20,2.710382,4.5,0.25,100,10,5,50,300,11,1,2,development_pilot,CONDITIONAL_PARALLEL_PENDING_EXTERNAL_VALIDATION,,3.011535,0.900000,near_critical,Li_2010_piecewise_preliminary,0.300,1250.000,低功率临界下缘大尺寸配对,pilot_alt_04,22,0.9,4.5,用户授权按100m/0.25m与外部验证并行；结果仅作先导判伪，外部验证和先导决策门通过前不得扩展68组数据库
gsB_m,pilot_candidate,40,2.500000,5,0.25,100,10,5,50,300,11,1,2,development_pilot,CONDITIONAL_PARALLEL_PENDING_EXTERNAL_VALIDATION,gsB_m,3.011535,0.830141,weak,Li_2010_piecewise_preliminary,0.300,1975.309,复用网格中档中功率近临界工况并避免重复计算,pilot_alt_05,35,0.85,5,用户授权按100m/0.25m与外部验证并行；结果仅作先导判伪，外部验证和先导决策门通过前不得扩展68组数据库
pilot_06_q40_r100_d45,pilot_candidate,40,3.011535,4.5,0.25,100,10,5,50,300,11,1,2,development_pilot,CONDITIONAL_PARALLEL_PENDING_EXTERNAL_VALIDATION,,3.011535,1.000000,near_critical,Li_2010_piecewise_preliminary,0.300,2500.000,中功率临界点且与下一行构成尺寸配对,pilot_alt_06,45,1,4.5,用户授权按100m/0.25m与外部验证并行；结果仅作先导判伪，外部验证和先导决策门通过前不得扩展68组数据库
pilot_07_q40_r100_d60,pilot_candidate,40,3.011535,6,0.25,100,10,5,50,300,11,1,2,development_pilot,CONDITIONAL_PARALLEL_PENDING_EXTERNAL_VALIDATION,,3.011535,1.000000,near_critical,Li_2010_piecewise_preliminary,0.300,1322.314,中功率临界点大尺寸配对,pilot_alt_07,45,1,6,用户授权按100m/0.25m与外部验证并行；结果仅作先导判伪，外部验证和先导决策门通过前不得扩展68组数据库
pilot_08_q60_r110_d55,pilot_candidate,60,3.312689,5.5,0.25,100,10,5,50,300,11,1,2,development_pilot,CONDITIONAL_PARALLEL_PENDING_EXTERNAL_VALIDATION,,3.011535,1.100000,near_critical,Li_2010_piecewise_preliminary,0.300,2400.000,高功率临界上缘且与下一行构成尺寸配对,pilot_alt_08,55,1.1,5.5,用户授权按100m/0.25m与外部验证并行；结果仅作先导判伪，外部验证和先导决策门通过前不得扩展68组数据库
pilot_09_q60_r110_d70,pilot_candidate,60,3.312689,7,0.25,100,10,5,50,300,11,1,2,development_pilot,CONDITIONAL_PARALLEL_PENDING_EXTERNAL_VALIDATION,,3.011535,1.100000,near_critical,Li_2010_piecewise_preliminary,0.300,1420.118,高功率临界上缘大尺寸配对,pilot_alt_09,55,1.1,7,用户授权按100m/0.25m与外部验证并行；结果仅作先导判伪，外部验证和先导决策门通过前不得扩展68组数据库
gsC_m,pilot_candidate,80,4.500000,7,0.25,100,10,5,50,300,11,1,2,development_pilot,CONDITIONAL_PARALLEL_PENDING_EXTERNAL_VALIDATION,gsC_m,3.011535,1.494254,strong,Li_2010_piecewise_preliminary,0.300,1893.491,复用网格中档高功率强风工况并避免重复计算,pilot_alt_10,75,1.45,6.5,用户授权按100m/0.25m与外部验证并行；结果仅作先导判伪，外部验证和先导决策门通过前不得扩展68组数据库
