criterion_id,stage,metric,acceptance_rule,data_source,subset,model_version,analysis_script,evaluation_output,evidence_path,evidence_status,decision
FWD_01,4,full_curve_NRMSE_median,<=0.15,REAL_FDS,independent_test,FROZEN_BEFORE_UNSEAL,阶段四/src/forward_validation.py,forward_summary,,WAITING_INDEPENDENT_TEST,NOT_EVALUATED
FWD_02,4,peak_temperature_relative_error_median,<=0.15,REAL_FDS,independent_test,FROZEN_BEFORE_UNSEAL,阶段四/src/forward_validation.py,forward_summary,,WAITING_INDEPENDENT_TEST,NOT_EVALUATED
FWD_03,4,peak_position_error_median,<=0.5H,REAL_FDS,independent_test,FROZEN_BEFORE_UNSEAL,阶段四/src/forward_validation.py,forward_summary,,WAITING_INDEPENDENT_TEST,NOT_EVALUATED
FWD_04,4,zero_wind_symmetry,approximately_symmetric,REAL_FDS,independent_test,FROZEN_BEFORE_UNSEAL,阶段四/src/forward_validation.py,forward_summary,,WAITING_INDEPENDENT_TEST,NOT_EVALUATED
FWD_05,4,far_field_limit,approaches_ambient,REAL_FDS,independent_test,FROZEN_BEFORE_UNSEAL,阶段四/src/forward_validation.py,forward_summary,,WAITING_INDEPENDENT_TEST,NOT_EVALUATED
FWD_06,4,strong_wind_upstream,not_above_detection_threshold,REAL_FDS,independent_test,FROZEN_BEFORE_UNSEAL,阶段四/src/forward_validation.py,forward_summary,,WAITING_INDEPENDENT_TEST,NOT_EVALUATED
INV_01,5,Q_relative_error_median,<=0.20,REAL_FDS,independent_test,FROZEN_BEFORE_UNSEAL,阶段五/src/direct_inversion.py,inversion_summary,,WAITING_INDEPENDENT_TEST,NOT_EVALUATED
INV_02,5,x_f_error_median,<=0.5H,REAL_FDS,independent_test,FROZEN_BEFORE_UNSEAL,阶段五/src/direct_inversion.py,inversion_summary,,WAITING_INDEPENDENT_TEST,NOT_EVALUATED
INV_03,5,confidence_interval_direction,widens_with_less_sensors_or_more_noise,REAL_FDS,independent_test,FROZEN_BEFORE_UNSEAL,阶段五/src/confidence_intervals.py,confidence_summary,,WAITING_INDEPENDENT_TEST,NOT_EVALUATED
INV_04,5,wrong_local_optimum_rate,no_large_failure_population,REAL_FDS,independent_test,FROZEN_BEFORE_UNSEAL,阶段五/src/direct_inversion.py,objective_profile_summary,,WAITING_INDEPENDENT_TEST,NOT_EVALUATED
NET_01,6,physics_decoder_advantage,at_least_one_predeclared_advantage,REAL_FDS,independent_test,FROZEN_BEFORE_UNSEAL,阶段六/src/training_evaluation.py,four_model_comparison,,WAITING_INDEPENDENT_TEST,NOT_EVALUATED
