record_id,record_type,claim_or_output,required_final_evidence,current_artifact,data_source,subset,model_or_data_version,analysis_script,metric_or_figure,evidence_path,status,allowed_wording
I1,innovation,顶棚中心线温度有效输运解析模型,"先导判伪通过、闭合交叉验证和独立测试",阶段四/src/dimensionless_model.py,REAL_FDS,development_and_independent_test,WAITING_FORMAL_CLOSURE,阶段四/src/forward_validation.py,正向指标与极限检查,,FRAMEWORK_ONLY,"仅可称已实现数学与软件框架"
I2,innovation,峰值偏移与强风删失处理,"真实先导峰值 Bootstrap、删失阈值、域删失和封存确认",阶段二/04_100m条件域协议/protocol_v2_summary.csv,REAL_FDS,development_pilot,100M_V2_CONFIRMATION_PENDING,阶段二/src/conditional_domain_protocol.py,峰值区间与删失掩码,阶段二/04_100m条件域协议/protocol_v2_summary.csv,FRAMEWORK_V2_CONFIRMATION_PENDING,"可报告V1失败与V2开发协议，不得称独立确认"
I3,innovation,解析公式驱动的火源反演统一框架,"正式闭合、Fisher、直接反演与独立测试",阶段五/src/direct_inversion.py,REAL_FDS,development_and_independent_test,WAITING_FORMAL_CLOSURE,阶段五/src/direct_inversion.py,Q与x_f误差及置信区间,,SYNTHETIC_SOFTWARE_ONLY,"不得报告真实反演精度"
I4,innovation,可微物理解码火源反演,"四模型正式对照且至少一项预声明优势",阶段六/src/physics_training.py,REAL_FDS,development_and_independent_test,WAITING_FORMAL_TRAINING,阶段六/src/training_evaluation.py,四模型对照,,SYNTHETIC_SOFTWARE_ONLY,"不得宣称网络优势"
O1,expected_output,经网格边界外部试验验证的FDS模型,"阶段一全部真实决策门",阶段一/README.md,REAL_FDS_AND_EXPERIMENT,stage1_validation,WAITING_RETURN,阶段一/src/check_fds_results.py,网格边界外部验证,,WAITING_FDS,"不得称平台已验证"
O2,expected_output,68组准稳态物理数据库,"68组质量与准稳态通过并落实隔离",阶段三/01_工况设计/database_cases_candidate.csv,REAL_FDS,all_physical_cases,100M_V2_12_OF_68_READY,阶段三/src/batch_postprocess.py,数据库完成率,阶段三/outputs/analysis/batch/database_completion.csv,WAITING_56_FDS,"可称12组真实结果已处理；完整数据库未完成"
O3,expected_output,顶棚中心线温度有效输运模型,"100 m条件域开发交叉验证与封存测试通过",阶段四/src/dimensionless_model.py,REAL_FDS,development_pilot,V1_FAIL_V2_WAITING_DATABASE,阶段四/src/closure_models.py,参数掩码与全曲线指标,阶段二/04_100m条件域协议/protocol_v2_summary.csv,FRAMEWORK_V2_CONFIRMATION_PENDING,"可称V1失败及V2数学框架，不能称模型有效"
O4,expected_output,上下游非对称解析温度公式,"闭合与独立测试通过",阶段四/src/dimensionless_model.py,REAL_FDS,development_and_independent_test,WAITING_FORMAL_CLOSURE,阶段四/src/forward_validation.py,全曲线指标,,FRAMEWORK_ONLY,"仅可称解析核实现"
O5,expected_output,峰值提取与强风删失方法,"真实峰值、5°C阈值、上游/下游域删失及封存确认",阶段二/04_100m条件域协议/protocol_v2_case_targets.csv,REAL_FDS,development_pilot,100M_V2_CONFIRMATION_PENDING,阶段二/src/conditional_domain_protocol.py,峰值CI与分类,阶段二/04_100m条件域协议/protocol_v2_case_targets.csv,FRAMEWORK_V2_CONFIRMATION_PENDING,"可称开发协议已固定，不得称独立验证"
O6,expected_output,显式闭合公式,"开发集交叉验证与稳定性完成",阶段四/src/closure_models.py,REAL_FDS,development,WAITING_DATABASE,阶段四/src/closure_models.py,CV与Bootstrap,,FRAMEWORK_ONLY,"不得填写系数"
O7,expected_output,火源功率与位置直接反演,"正式闭合与独立测试通过",阶段五/src/direct_inversion.py,REAL_FDS,independent_test,WAITING_FORMAL_CLOSURE,阶段五/src/direct_inversion.py,Q/x_f误差,,SYNTHETIC_SOFTWARE_ONLY,"不得填写真实精度"
O8,expected_output,Fisher传感器布局优化,"真实噪声协方差和多场景评价",阶段五/src/fisher_layout.py,REAL_FDS,development,WAITING_NOISE_MODEL,阶段五/src/fisher_layout.py,Fisher指标,,SYNTHETIC_SOFTWARE_ONLY,"不得推荐正式布局"
O9,expected_output,轻量可微物理解码模型,"正式训练和四模型对照",阶段六/src/set_encoder.py,REAL_FDS,development_and_independent_test,WAITING_FORMAL_TRAINING,阶段六/src/training_evaluation.py,四模型指标,,SYNTHETIC_SOFTWARE_ONLY,"不得宣称优势"
O10,expected_output,反演不确定性与异常提示,"开发阈值、独立测试和三层不确定性",阶段七/src/uncertainty_anomaly.py,REAL_FDS,development_and_independent_test,WAITING_FORMAL_MODELS,阶段七/src/uncertainty_anomaly.py,不确定性与残差,,SYNTHETIC_SOFTWARE_ONLY,"异常只作模型失配提示"
O11,expected_output,适用范围与工程条件,"全部正式结果与失败边界汇总",实施.md,REAL_FDS_AND_EXPERIMENT,all_formal_subsets,WAITING_ALL_GATES,阶段七/04_论文与验收/验收复核表.csv,适用范围表,,WAITING_FORMAL_RESULTS,"不得提前推广"
O12,expected_output,有限瞬态适用性分析,"阶段六完成后决定并运行可选工况",阶段七/04_论文与验收/t2_transient_candidates.csv,REAL_FDS,optional_transient,WAITING_STAGE6_GATE,,响应延迟与启动时刻,,CANDIDATE_ONLY_NOT_RUN,"仅可称候选设计"
